description,rating,number_of_lists,number_of_watches,number_of_likes,number_of_fans,name_of_director,film_name
"YOUTH, HITTING THE CLOUDS! LAUGHING AT DANGER! FIGHTING, LOVING, DODGING DEATH! THAT’S “WINGS”
Two young men, one rich, one middle class, both in love with the same woman, become US Air Corps fighter pilots and, eventually, heroic flying aces during World War I. Devoted best friends, their mutual love of the girl eventually threatens their bond. Meanwhile, a hometown girl who’s the lovestruck lifelong next door neighbor of one of them pines away.",3.8,28K,29K,7K,87 FANS,William A. Wellman,wings-1927
"In 1910s Paris, a sewer worker disillusioned with Christianity feels his prayers have been answered when he chances upon a street waif and they fall in love.",3.7,12K,8.2K,2K,41 FANS,Frank Borzage,7th-heaven-1927
A renegade police captain sets out to catch a sadistic mob boss. Preserved by the Academy Film Archive in 2016.,3.1,4.2K,2.6K,318,2 FANS,Lewis Milestone,the-racket-1927
"ALL TALKING. ALL SINGING. ALL DANCING.
The vaudeville act of Harriet and Queenie Mahoney comes to Broadway, where their friend Eddie Kerns needs them for his number in one of Francis Zanfield’s shows. When Eddie meets Queenie, he soon falls in love with her—but she is already being courted by Jock Warriner, a member of New York high society. Queenie eventually recognizes that, to Jock, she is nothing more than a toy, and that Eddie is in love with her.",2.4,17K,13K,730,2 FANS,Harry Beaumont,the-broadway-melody-1928
Belgian sleuth Hercule Poirot investigates a mysterious suicide at a country house.,,161,23,1,,Leslie S. Hiscott,alibi-1928
"THE FIRST ALL-TALKING SOUND-ON-FILM FEATURE.
Army Sergeant Mickey Dunn sets out in pursuit of the Cisco Kid, a notorious if kind-hearted and charismatic bandit of the Old West. The Kid spends much of his loot on Tonia, the woman he loves, not realizing that she is being unfaithful to him in his absence. Soon, with her oblivious paramour off plying his trade, Tonia falls in with Dunn, drawn by the allure of a substantial reward for the Kid’s capture – dead or alive. Together, they concoct a plan …more",2.6,5K,1.9K,135,,"Irving Cummings, Raoul Walsh",in-old-arizona-1928
"THESE CHARACTERS WILL FASCINATE YOU!
In 18th-Century Russia, the Czar, Paul, is surrounded by murderous plots and trusts only Count Pahlen. Pahlen wishes to protect his friend, the mad king, but because of the horror of the king’s acts, he feels that he must remove him from the throne.",,3.7K,480,46,2 FANS,Ernst Lubitsch,the-patriot-1928
"THEY LEFT FOR WAR AS BOYS NEVER TO RETURN AS MEN.
When a group of idealistic young men join the German Army during the Great War, they are assigned to the Western Front, where their patriotism is destroyed by the harsh realities of combat.",4.2,56K,95K,24K,616 FANS,Lewis Milestone,all-quiet-on-the-western-front-1929
"TIMELY! TREMENDOUS! THRILLING! DRAMA OF LOVE AND A JAIL-BREAK!
Convicted of manslaughter for a drunken driving accident, Kent Marlowe is sent to prison, where he meets vicious incarcerated figures who are planning an escape from the brutal conditions.",3.5,5.7K,3K,540,1 FAN,George W. Hill,the-big-house-1929
"DISRAELI – LOVER AND LEADER!
Prime Minister of Great Britain Benjamin Disraeli outwits the subterfuge of the Russians and chicanery at home in order to secure the purchase of the Suez Canal.",2.8,4.4K,1.5K,98,1 FAN,Alfred E. Green,disraeli-1929
,,19,2,1,,Georg Jacoby,the-divorcee-1929
"HE SANG HIMSELF INTO THE QUEEN’S BOUDOIR! ONE KISS AND THE WHOLE KINGDOM WAS HIS!
The queen of mythical Sylvania marries a courtier, who finds his new life unsatisfying.",3.4,7.4K,5K,891,,Ernst Lubitsch,the-love-parade-1929
"TERRIFIC AS ALL CREATION!
When the government opens up the Oklahoma territory for settlement, restless Yancey Cravat claims a plot of the free land for himself and moves his family there from Wichita. A newspaperman, lawyer, and just about everything else, Cravat soon becomes a leading citizen of the boom town of Osage. Once the town is established, however, he begins to feel confined once again, and heads for the Cherokee Strip, leaving his family behind. During this and …more",2.4,16K,9.6K,467,,Wesley Ruggles,cimarron-1930
"The refined Lady Isabel Carlisle, after leaving her family and enduring nearly a decade of hardships, learns that her son has fallen ill. Despite being nearly blinded as the result of an explosion, she returns home to see her son again.",,2.7K,689,50,1 FAN,Frank Lloyd,east-lynne-1930
"A PICTURE THAT HAS CRACKED THIS SHOCK-PROOF TOWN WIDE OPEN!
Hildy Johnson is an investigative reporter looking for a bigger paycheck. When an accused murderer escapes from custody, Hildy sees an opportunity for the story of a lifetime. But when he finds the criminal, he learns that the man may not be guilty. With the help of his editor, Hildy attempts to hide the convict, uncover the conspiracy and write the scoop of his career.",3.3,7.6K,5.7K,842,1 FAN,Lewis Milestone,the-front-page-1930
Skippy the Bush Kangaroo,,4,27,1,,,skippy-1930
"THE MIRACLE OF PICTURES
While on safari in an unexplored area of Africa, Trader Horn and Peru find missionary Edith Trent killed by natives. They decide to carry on her quest for her lost daughter Nina. They find her as the queen of a particularly savage tribe, and try to bring her back to civilization.",,3.2K,1.1K,69,,W.S. Van Dyke,trader-horn-1930
"THANK THE STARS FOR A GREAT ENTERTAINMENT!
Guests at a posh Berlin hotel struggle through worry, scandal, and heartache.",3.5,24K,28K,5.3K,47 FANS,Edmund Goulding,grand-hotel-1931
"HE FOUGHT FOR MAN… AND LOST A WOMAN!
A medical researcher is sent to a plague outbreak, where he has to decide priorities for the use of a vaccine.",3.2,4.4K,2.6K,314,,John Ford,arrowsmith-1931
"VINA DELMAR’S NOVEL OF NEW YORK LIFE
A man and woman, skeptical about romance, nonetheless fall in love and are wed, but their lack of confidence in the opposite sex haunts their marriage.",3.3,5.2K,2.5K,411,2 FANS,Frank Borzage,bad-girl-1931
A Terrytoons cartoon released 20 September 1931.,,33,21,5,,Frank Moser,the-champ-1931
"A PICTURE AS SENSATIONAL AS ITS SUBJECT!
Searching for headlines at any cost, an unscrupulous newspaper owner forces his editor to print a serial based on a past murder, tormenting a woman involved.",3.6,4.4K,2.6K,547,,Mervyn LeRoy,five-star-final-1931
"CHEVALIER! CAPTIVATING ALL THE WORLD WITH LAUGHTER AND LOVE!
Andre and Colette Bertier are happily married. When Colette introduces her husband to her flirtatious best friend, Mitzi, he does his best to resist her advances. But she is persistent, and very cute, and he succumbs. Mitzi’s husband wants to divorce her, and has been having her tailed. Andre gets caught, and must confess to his wife. But Colette has had problems resisting the attentions of another man herself, and they forgive each other.",3.5,7.9K,6.5K,1.5K,8 FANS,Ernst Lubitsch,one-hour-with-you-1931
"MANY MEN HAD LOVED HER – BUT ONLY ONE HAD BEEN LOVED IN RETURN!
A beautiful temptress re-kindles an old romance while trying to escape her past during a tension-packed train journey.",3.7,27K,36K,9.2K,72 FANS,Josef von Sternberg,shanghai-express-1931
"MAURICE CHEVALIER LAUGHING AND LOVING AGAIN IN ERNST LUBITSCH’S SPARKLING COCKTAIL OF ROMANTIC MERRIMENT
An amorous lieutenant is forced to marry a socially awkward princess, though he tries to keep his violin-playing girlfriend on the side.",3.6,7.3K,7K,1.8K,7 FANS,Ernst Lubitsch,the-smiling-lieutenant-1931
"THE PICTURE OF THE GENERATION!
A cavalcade of English life from New Year’s Eve 1899 until 1933 is seen through the eyes of well-to-do Londoners Jane and Robert Marryot. Amongst events touching their family are the Boer War, the death of Queen Victoria, the sinking of the Titanic, and the Great War.",2.5,15K,8.7K,457,3 FANS,Frank Lloyd,cavalcade-1932
"THE GREATEST MUSICAL HIT THE SCREEN HAS EVER KNOWN!
A producer puts on what may be his last Broadway show, and at the last moment a chorus girl has to replace the star.",3.6,22K,25K,5.2K,36 FANS,Lloyd Bacon,42nd-street-1932
